date,name,bank_holiday
1/1/2009,New Year's Day,1
1/25/2009,Robert Burns Night (Burns Night),0
1/27/2009,Holocaust Memorial Day,0
2/14/2009,Valentines Day,0
2/24/2009,Shrove Tuesday (Pancake Day),0
2/25/2009,Ash Wednesday,0
3/1/2009,St David's Day,0
3/17/2009,St Patricks Day,0
3/22/2009,Mothering Sunday (Mothers Day),0
3/29/2009,British Summertime (BST) Begins,0
4/1/2009,April Fool's Day,0
4/9/2009,Maundy Thursday,0
4/10/2009,Good Friday,1
4/12/2009,Easter Sunday,0
4/13/2009,Easter Monday,1
4/21/2009,Queen Elizabeth's Birthday,0
4/23/2009,St George's Day,0
5/4/2009,May Day (Early May Bank Holiday),1
5/25/2009,Spring Bank Holiday,1
6/14/2009,Trooping the Colour,0
6/21/2009,Father's Day,0
7/14/2009,Emmeline Pankhurst Day,0
7/15/2009,St.Swithun's Day (aka St. Swithin's),0
8/31/2009,Summer Bank Holiday,1
10/25/2009,British Summertime (BST) Ends,0
10/31/2009,Halloween,0
11/1/2009,All Saints Day,0
11/5/2009,Guy Fawkes Night,0
11/8/2009,Remembrance Day (Remembrance Sunday),0
11/30/2009,St Andrew's Day,0
12/25/2009,Christmas,1
12/28/2009,Boxing Day,1
1/1/2010,New Year's Day,1
1/25/2010,Robert Burns Night (Burns Night),0
1/27/2010,Holocaust Memorial Day,0
2/14/2010,Valentines Day,0
2/16/2010,Shrove Tuesday (Pancake Day),0
2/17/2010,Ash Wednesday,0
3/1/2010,St David's Day,0
3/14/2010,Mothering Sunday (Mothers Day),0
3/17/2010,St Patricks Day,0
3/28/2010,British Summertime (BST) Begins,0
4/1/2010,April Fool's Day,0
4/1/2010,Maundy Thursday,0
4/2/2010,Good Friday,1
4/4/2010,Easter Sunday,0
4/5/2010,Easter Monday,1
4/21/2010,Queen Elizabeth's Birthday,0
4/23/2010,St George's Day,0
5/3/2010,May Day (Early May Bank Holiday),1
5/31/2010,Spring Bank Holiday,1
6/14/2010,Trooping the Colour,0
6/20/2010,Father's Day,0
7/14/2010,Emmeline Pankhurst Day,0
7/15/2010,St.Swithun's Day (aka St. Swithin's),0
8/30/2010,Summer Bank Holiday,1
10/31/2010,British Summertime (BST) Ends,0
10/31/2010,Halloween,0
11/1/2010,All Saints Day,0
11/5/2010,Guy Fawkes Night,0
11/14/2010,Remembrance Day (Remembrance Sunday),0
11/30/2010,St Andrew's Day,0
12/27/2010,Boxing Day,1
12/28/2010,Christmas,1
1/2/2011,Hogmanay,0
1/3/2011,New Year's Day,1
1/25/2011,Robert Burns Night (Burns Night),0
1/27/2011,Holocaust Memorial Day,0
2/14/2011,Valentines Day,0
3/1/2011,St David's Day,0
3/8/2011,Shrove Tuesday (Pancake Day),0
3/9/2011,Ash Wednesday,0
3/17/2011,St Patricks Day,0
3/27/2011,British Summertime (BST) Begins,0
4/1/2011,April Fool's Day,0
4/3/2011,Mothering Sunday (Mothers Day),0
4/21/2011,Maundy Thursday,0
4/21/2011,Queen Elizabeth's Birthday,0
4/22/2011,Good Friday,1
4/23/2011,St George's Day,0
4/24/2011,Easter Sunday,0
4/25/2011,Easter Monday,1
5/2/2011,May Day (Early May Bank Holiday),1
5/30/2011,Spring Bank Holiday,1
6/14/2011,Trooping the Colour,0
6/19/2011,Father's Day,0
