,ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
0,2009-01-01 09:00, DCNN,1009,24,0, DLY3208,23944,1012, .4,-5.5, -6.7, -8.6, 1,151, 1, 151, 2009-03-31 14:24,0, , , ,
1,2009-01-01 09:00, DCNN,1009,24,1, DLY3208,23944,1022, .4,-6.5, -6.7, , 6,2006, 6, , 2009-06-17 13:56,0, , , ,
2,2009-01-01 09:00, DCNN,1012,24,1, DLY3208,19193,1011, .1,-7.1, -8.5, -8.8, 6,6, 6, 6, 2009-01-01 20:08,17, , , ,
3,2009-01-01 09:00, DCNN,1050,24,1, DLY3208,30269,1011, 2.3,-5.2, -6.9, , 6,6, 6, , 2009-01-01 12:08,42, , , ,
4,2009-01-01 09:00, DCNN,1057,12,1, NCM,132,1011, .4,-0.8, -1.6, -1.9, 6,6, 6, 6, 2009-01-01 09:02,48, , , ,
5,2009-01-01 09:00, DCNN,1079,12,1, NCM,137,1011, 1.7,-0.2, -2.1, -1.5, 6,6, 6, 6, 2009-01-01 09:12,38, , , ,
6,2009-01-01 21:00, DCNN,1057,12,1, NCM,132,1011, 1.9,-0.5, , , 6,6, , , 2009-01-01 20:57,244, , , ,
7,2009-01-01 21:00, DCNN,1079,12,1, NCM,137,1011, 3,0.4, , , 6,6, , , 2009-01-01 20:57,244, , , ,
8,2009-01-02 09:00, DCNN,1009,24,1, DLY3208,23944,1011, 2.3,-3.4, -8, -5.4, 6,6, 6, 6, 2009-03-31 14:24,0, , , ,
9,2009-01-02 09:00, DCNN,1012,24,0, DLY3208,19193,1012, .9,-7.2, -8.9, -5.5, 1,1, 1, 1, 2009-01-04 18:08,20, , , ,
10,2009-01-02 09:00, DCNN,1012,24,1, DLY3208,19193,1022, .9,-4.0, -8.9, -5.5, 6,2006, 6, 6, 2009-06-18 09:12,0, , , ,
11,2009-01-02 09:00, DCNN,1050,24,1, DLY3208,30269,1011, 2.4,-2.8, -5.2, , 6,6, 6, , 2009-01-02 11:08,47, , , ,
12,2009-01-02 09:00, DCNN,1057,12,1, NCM,132,1011, .6,-3.8, -8.5, -5.1, 6,6, 6, 6, 2009-01-02 09:04,46, , , ,
13,2009-01-02 09:00, DCNN,1079,12,1, NCM,137,1011, 3.6,-1.6, -5.8, -2, 6,6, 6, 6, 2009-01-02 08:58,52, , , ,
14,2009-01-02 21:00, DCNN,1057,12,1, NCM,132,1011, 1.7,-5.3, , , 6,6, , , 2009-01-02 20:56,247, , , ,
15,2009-01-02 21:00, DCNN,1079,12,1, NCM,137,1011, 2.8,-5.8, , , 6,6, , , 2009-01-02 20:55,248, , , ,
16,2009-01-03 09:00, DCNN,1009,24,1, DLY3208,23944,1011, 2.3,-4.4, -7.4, -6.1, 6,6, 6, 6, 2009-03-31 14:24,0, , , ,
17,2009-01-03 09:00, DCNN,1012,24,1, DLY3208,19193,1011, .9,-7.6, -11.3, -8.1, 6,6, 6, 6, 2009-01-04 18:08,3, , , ,
18,2009-01-03 09:00, DCNN,1050,24,1, DLY3208,30269,1011, 2.5,-4.0, -6, , 6,6, 6, , 2009-01-03 10:08,51, , , ,
19,2009-01-03 09:00, DCNN,1057,12,1, NCM,132,1011, -1.1,-4.9, -9.2, -6.1, 6,6, 6, 6, 2009-01-03 09:00,56, , , ,
20,2009-01-03 09:00, DCNN,1079,12,1, NCM,137,1011, .6,-3.7, -10.3, -4.6, 6,6, 6, 6, 2009-01-03 08:59,57, , , ,
21,2009-01-03 21:00, DCNN,1057,12,1, NCM,132,1011, 3.1,-2.2, , , 6,6, , , 2009-01-03 20:54,247, , , ,
22,2009-01-03 21:00, DCNN,1079,12,1, NCM,137,1011, 3.2,-0.2, , , 6,6, , , 2009-01-03 20:56,245, , , ,
23,2009-01-04 09:00, DCNN,1009,24,0, DLY3208,23944,1012, 6,-0.1, 5.6, 7.6, 1,1, 151, 151, 2009-03-31 14:24,0, , , ,
24,2009-01-04 09:00, DCNN,1009,24,1, DLY3208,23944,1022, 6,-0.1, , , 6,6, , , 2009-06-17 13:55,0, , , ,
25,2009-01-04 09:00, DCNN,1012,24,1, DLY3208,19193,1011, 4.1,-2.0, -3, -3.2, 6,2006, 6, 6, 2009-01-04 19:08,58, , , ,
26,2009-01-04 09:00, DCNN,1050,24,1, DLY3208,30269,1011, 3,0.0, -1, , 6,6, 6, , 2009-01-04 10:08,16, , , ,
27,2009-01-04 09:00, DCNN,1057,12,1, NCM,132,1011, 3.2,2.5, .7, .9, 6,6, 6, 6, 2009-01-04 08:56,54, , , ,
28,2009-01-04 09:00, DCNN,1079,12,1, NCM,137,1011, 3.3,2.5, .2, .3, 6,6, 6, 6, 2009-01-04 08:58,52, , , ,
29,2009-01-04 21:00, DCNN,1057,12,1, NCM,132,1011, 4.1,1.7, , , 6,6, , , 2009-01-04 20:56,246, , , ,
30,2009-01-04 21:00, DCNN,1079,12,1, NCM,137,1011, 5.1,3.0, , , 6,6, , , 2009-01-04 20:58,244, , , ,
31,2009-01-05 09:00, DCNN,1009,24,1, DLY3208,23944,1011, 4.8,-3.8, -8.5, -4.8, 6,6, 6, 6, 2009-03-31 14:24,0, , , ,
32,2009-01-05 09:00, DCNN,1012,24,1, DLY3208,19193,1011, 3.5,-5.0, -10.1, , 2006,2006, 6, , 2009-01-09 20:08,8, , , ,
33,2009-01-05 09:00, DCNN,1050,24,1, DLY3208,30269,1011, 3.9,-1.7, -5.2, , 6,6, 6, , 2009-01-05 10:08,59, , , ,
34,2009-01-05 09:00, DCNN,1057,12,1, NCM,132,1011, 2.5,-6.3, -11.7, -7.3, 6,6, 6, 6, 2009-01-05 08:57,53, , , ,
35,2009-01-05 09:00, DCNN,1079,12,1, NCM,137,1011, 4.4,-6.1, -11.6, -4.6, 6,6, 6, 6, 2009-01-05 08:58,52, , , ,
