,file_id,total_no,zero_no,na_no,zero%,na%
0,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/A01_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
1,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/A02_15Feb2015_28Mar2015.csv,12098,0,12091,0.0,99.94213919656141
2,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/A03_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
3,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/A18_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
4,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/B02_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
5,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/B08_15Feb2018_28Mar2015.csv,12098,0,0,0.0,0.0
6,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/C02_15Feb2018_28Mar2015.csv,12098,0,0,0.0,0.0
7,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/C14_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
8,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/C19_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
9,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/C24_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
10,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/C32_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
11,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/D08_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
12,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/D15_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
13,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/D20a_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
14,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/D25b_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
15,C:/Users/al146/OneDrive - Heriot-Watt University/Data/Findhorn/test/F27_15Feb2015_28Mar2015.csv,12098,0,0,0.0,0.0
